carat,price
0.51,1749
2.25,7069
0.7,2757
0.47,1243
0.3,789
0.33,728
2.01,18398
0.51,2203
1.7,15100
0.53,1857
0.39,834
1.5,7708
1,6272
1.29,5676
2.01,16776
1.13,7404
0.7,1702
0.38,606
1.17,5423
1.51,8033
0.4,1279
0.41,863
0.51,1893
1,3584
1.09,10196
0.39,1082
0.72,3024
1.14,5593
0.3,710
0.3,465
0.71,2188
1.22,5192
1.53,9562
0.5,1436
0.42,1087
1.22,6727
0.3,552
0.25,525
0.33,579
1.2,6741
0.7,3205
0.31,802
0.41,1107
0.9,3200
1.44,5987
0.7,2218
0.35,788
0.54,1595
1.71,13818
1.01,6244
0.43,935
0.71,3304
0.32,602
1.13,6891
0.91,3639
1.02,5278
0.36,1094
0.3,776
0.3,863
0.77,2475
0.4,815
0.7,2513
0.4,1075
0.58,1401
1.01,5656
1.3,8164
0.34,413
0.33,802
1.22,6121
0.26,452
0.57,1608
1.01,4137
0.31,544
1.01,4617
0.51,1234
0.42,1210
0.31,408
0.28,642
0.42,854
0.5,1555
0.79,4240
1.03,4928
0.73,4182
1.01,4606
1.12,6774
2.01,17826
0.36,718
1,5460
1.51,11640
0.8,3293
0.53,1753
2.09,18215
1.01,4004
0.58,1636
0.7,3247
1,6098
0.36,626
1.1,3872
1,4760
0.56,1389
0.96,3480
0.37,692
0.92,5779
0.33,959
0.51,1129
0.77,4039
0.41,1192
0.44,1028
1.24,7162
0.57,1384
0.39,1024
0.6,2142
0.8,2447
1.01,5486
0.71,2319
0.29,607
0.38,701
0.91,2905
0.51,1450
0.77,2546
1.58,7654
0.51,1431
0.33,1141
0.7,3330
1.51,11628
0.3,405
1.09,5127
1.23,7256
0.5,1076
0.71,2554
0.72,2691
0.33,854
1.52,9576
1.23,9116
0.54,1829
0.32,828
1.31,8767
1.11,5648
1.03,4283
0.56,1131
1.29,5601
0.53,1577
1.7,11257
0.3,615
0.32,828
1.51,10763
0.43,1016
0.3,620
3,11548
0.75,1944
0.9,4617
0.58,1785
1.01,4619
0.3,484
0.79,3053
0.71,2233
1.01,4525
1.01,10453
1.01,5687
1.2,7795
0.27,470
0.56,1616
0.41,1431
0.72,3740
0.55,1363
0.41,1015
0.3,1026
1.01,8252
0.4,611
0.4,920
0.31,446
0.39,787
0.71,2210
1.11,5262
1.02,6479
0.33,886
2.2,18193
2.02,14080
0.56,1436
1.08,9545
1.51,10739
1.15,5538
1.25,5975
0.4,995
0.76,2688
1.01,7964
1.2,4989
1.34,5778
0.34,596
0.53,1363
0.35,1001
0.23,462
1,5606
2.04,15760
1.01,4794
0.31,778
0.41,969
1.11,7179
1.05,4939
0.51,1424
0.38,1073
0.35,580
0.72,3338
0.3,499
0.31,625
1.05,7070
0.38,812
1,7056
0.32,449
0.55,1401
0.56,1963
0.31,663
0.33,946
1.72,10869
1.01,6670
2.02,12713
1.05,9160
0.24,540
0.39,1255
0.32,756
0.32,517
0.73,2320
0.54,1240
0.52,1607
0.5,1806
0.31,936
1.22,5072
1.27,5588
0.7,3175
1.24,7222
1.01,5599
0.7,3075
1.1,4997
0.3,658
1.51,14654
1.7,17360
0.42,1289
0.36,626
0.74,2298
0.61,2286
0.55,1896
1,4739
1.02,4243
1,4732
0.33,854
0.31,802
1.16,9432
1.17,5743
0.62,1364
0.31,476
0.41,991
